StartTime,Date,Site,SiteID,Address,Latitude,Longitude,parameter,Value,Units,temp_f,weather,wind_string,wind_dir,wind_degrees,wind_mph,wind_gust_mph,windchill_f,station_id,Location
11/1/15 11:00,11/1/2015,Queens College,360810124,Queens College   65-30 Kissena Blvd  Parking Lot#6,40.73614,-73.82153,CO ,169.71,PPB,61,Mostly Cloudy,from the West at 11.5 gusting to 18.4 MPH (10 gust,West,250,11.5,18.4,59,KLGA,Rooftop
11/1/15 12:00,11/1/2015,Harding Lab,360050083,200TH STREET AND SOUTHERN BLVD Harding Lab,40.86585,-73.88083,CO ,200,PPB,62,Mostly Cloudy,Southwest at 10.4 MPH (9 KT),Southwest,230,10.4,NULL,61,KLGA,Rooftop
11/1/15 12:00,11/1/2015,Queens College,360810124,Queens College   65-30 Kissena Blvd  Parking Lot#6,40.73614,-73.82153,CO ,165.18,PPB,62,Mostly Cloudy,Southwest at 10.4 MPH (9 KT),Southwest,230,10.4,NULL,61,KLGA,Rooftop
11/1/15 13:00,11/1/2015,Harding Lab,360050083,200TH STREET AND SOUTHERN BLVD Harding Lab,40.86585,-73.88083,CO ,200,PPB,63,Mostly Cloudy,Southwest at 10.4 MPH (9 KT),Southwest,230,10.4,NULL,62,KLGA,Rooftop
11/1/15 13:00,11/1/2015,Queens College,360810124,Queens College   65-30 Kissena Blvd  Parking Lot#6,40.73614,-73.82153,CO ,161.24,PPB,63,Mostly Cloudy,Southwest at 10.4 MPH (9 KT),Southwest,230,10.4,NULL,62,KLGA,Rooftop
11/1/15 14:00,11/1/2015,Harding Lab,360050083,200TH STREET AND SOUTHERN BLVD Harding Lab,40.86585,-73.88083,CO ,200,PPB,64,Mostly Cloudy,West at 10.4 MPH (9 KT),West,260,10.4,NULL,NULL,KLGA,Rooftop
11/1/15 14:00,11/1/2015,Queens College,360810124,Queens College   65-30 Kissena Blvd  Parking Lot#6,40.73614,-73.82153,CO ,165.8,PPB,64,Mostly Cloudy,West at 10.4 MPH (9 KT),West,260,10.4,NULL,NULL,KLGA,Rooftop
11/1/15 15:00,11/1/2015,Harding Lab,360050083,200TH STREET AND SOUTHERN BLVD Harding Lab,40.86585,-73.88083,CO ,200,PPB,65,Mostly Cloudy,West at 13.8 MPH (12 KT),West,260,13.8,NULL,NULL,KLGA,Rooftop
11/1/15 15:00,11/1/2015,Queens College,360810124,Queens College   65-30 Kissena Blvd  Parking Lot#6,40.73614,-73.82153,CO ,172.55,PPB,65,Mostly Cloudy,West at 13.8 MPH (12 KT),West,260,13.8,NULL,NULL,KLGA,Rooftop
11/1/15 16:00,11/1/2015,Harding Lab,360050083,200TH STREET AND SOUTHERN BLVD Harding Lab,40.86585,-73.88083,CO ,200,PPB,64,Mostly Cloudy,West at 6.9 MPH (6 KT),West,250,6.9,NULL,NULL,KLGA,Rooftop
