StartTime,Site,SiteID,Address,Latitude,Longitude,pm25,co,no,no2,nox,ozone,so2,temp_f,weather,wind_string,wind_dir,wind_degrees,wind_mph,wind_gust_mph,windchill_f,observation_datetime,station_id,Location
11/1/15 5:00,Division Street,360610134,"40 DIVISION STREET, PS 124",40.71436,-73.99518,6.2,NULL,NULL,NULL,NULL,NULL,NULL,55,Overcast,Southwest at 5.8 MPH (5 KT),Southwest,210,5.8,NULL,54,00:00.0,KLGA,Rooftop
11/1/15 23:00,Brooklyn - PS274,360470118,PS 274  800 BUSHWICK AVE,40.69454,-73.92769,13.2,NULL,NULL,NULL,NULL,NULL,NULL,60,Mostly Cloudy,Southwest at 8.1 MPH (7 KT),Southwest,220,8.1,NULL,59,00:00.0,KLGA,Rooftop
11/3/15 8:00,Division Street,360610134,"40 DIVISION STREET, PS 124",40.71436,-73.99518,17.7,NULL,NULL,NULL,NULL,NULL,NULL,59,Fair,Calm,North,0,0,NULL,NULL,00:00.0,KLGA,Rooftop
11/6/15 19:00,IS52,360050110,IS 52    681 KELLY ST,40.81618,-73.902,13.5,NULL,NULL,NULL,NULL,3,NULL,72,Mostly Cloudy,Southwest at 6.9 MPH (6 KT),Southwest,220,6.9,NULL,NULL,00:00.0,KLGA,Rooftop
11/4/15 7:00,PS 19,360610128,PS 19    185 1ST AVENUE,40.73,-73.98446,15.1,NULL,NULL,NULL,NULL,NULL,NULL,59,Fair,Northeast at 4.6 MPH (4 KT),Northeast,60,4.6,NULL,59,00:00.0,KLGA,Rooftop
11/8/15 10:00,Brooklyn - PS274,360470118,PS 274  800 BUSHWICK AVE,40.69454,-73.92769,0.4,NULL,NULL,NULL,NULL,NULL,NULL,53,Partly Cloudy,Northwest at 9.2 MPH (8 KT),Northwest,300,9.2,NULL,50,00:00.0,KLGA,Rooftop
11/5/15 20:00,Queens College,360810124,Queens College   65-30 Kissena Blvd  Parking Lot#6,40.73614,-73.82153,14.66,494.92,13.8,40.3,54.1,0,0.1,66,Fog/Mist,South at 4.6 MPH (4 KT),South,180,4.6,NULL,NULL,00:00.0,KLGA,Rooftop
11/1/15 1:00,IS 52,360050110,IS 52    681 KELLY ST,40.81618,-73.902,0,NULL,0,17.8,0,NULL,1.8,54,Overcast,Southwest at 4.6 MPH (4 KT),Southwest,210,4.6,NULL,53,00:00.0,KLGA,Rooftop
11/1/15 1:00,IS 52,360050110,IS 52    681 KELLY ST,40.81618,-73.902,0,NULL,0,17.8,0,NULL,1.8,54,Overcast,South at 5.8 MPH (5 KT),South,200,5.8,NULL,53,00:00.0,KLGA,Rooftop
11/7/15 8:00,Bronx - IS74,360050112,IS 74    730 BRYANT AV,40.81551,-73.88553,4.4,NULL,NULL,NULL,NULL,NULL,NULL,62,Mostly Cloudy,Northwest at 15.0 MPH (13 KT),Northwest,300,15,NULL,60,00:00.0,KLGA,Rooftop
